game_id,team_id,season,is_home,minutes,points,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,plus_minus
0022200001,1610612738,2022-23,True,240,126,36,6,30,24,8,3,11,24,46,82,0.561,12,35,0.343,22,28,0.786,9
0022200002,1610612744,2022-23,True,240,123,48,11,37,31,11,4,18,23,45,99,0.455,16,45,0.356,17,23,0.739,14
0022200002,1610612747,2022-23,False,240,109,48,9,39,23,12,4,22,18,40,94,0.426,10,40,0.25,19,25,0.76,-14
0022200001,1610612755,2022-23,False,240,117,31,4,27,16,8,3,14,25,40,80,0.5,13,34,0.382,24,28,0.857,-9
0022200005,1610612737,2022-23,True,240,117,38,4,34,30,12,5,9,18,45,90,0.5,7,25,0.28,20,24,0.833,10
0022200008,1610612739,2022-23,False,240,105,38,6,32,25,5,5,17,21,38,77,0.494,10,28,0.357,19,23,0.826,-3
0022200006,1610612740,2022-23,False,240,130,61,21,40,31,9,4,13,21,50,102,0.49,12,26,0.462,18,25,0.72,22
0022200007,1610612741,2022-23,False,240,116,46,12,34,23,12,6,15,26,41,93,0.441,13,36,0.361,21,28,0.75,8
0022200013,1610612742,2022-23,False,240,105,40,5,35,17,6,4,12,22,35,75,0.467,14,35,0.4,21,34,0.618,-2
0022200012,1610612743,2022-23,False,240,102,35,10,25,21,10,3,21,23,40,83,0.482,5,22,0.227,17,18,0.944,-21
0022200005,1610612745,2022-23,False,240,107,54,15,39,25,4,3,16,20,42,98,0.429,9,35,0.257,14,15,0.933,-10
0022200007,1610612748,2022-23,True,240,108,46,8,38,21,6,2,19,24,37,80,0.463,12,28,0.429,22,28,0.786,-8
0022200010,1610612750,2022-23,True,240,115,55,14,41,25,6,5,14,21,39,94,0.415,10,38,0.263,27,33,0.818,7
0022200006,1610612751,2022-23,True,240,108,39,9,30,22,10,10,16,25,40,89,0.449,10,33,0.303,18,24,0.75,-22
0022200009,1610612752,2022-23,False,265,112,54,18,36,28,7,5,12,26,44,109,0.404,9,37,0.243,15,18,0.833,-3
0022200003,1610612753,2022-23,False,240,109,48,10,38,21,5,5,18,24,42,86,0.488,11,30,0.367,14,19,0.737,-4
0022200004,1610612754,2022-23,True,240,107,42,12,30,21,7,5,15,20,39,97,0.402,15,42,0.357,14,21,0.667,-7
0022200013,1610612756,2022-23,True,240,107,40,8,32,25,4,5,12,29,40,85,0.471,8,22,0.364,19,22,0.864,2
0022200014,1610612757,2022-23,False,240,115,44,11,33,20,11,2,11,17,39,88,0.443,11,28,0.393,26,33,0.788,7
