game_id,player_id,team_id,season,minutes,points,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,plus_minus
0022200001,201143,1610612738,2022-23,23,6,5,1,4,1,0,0,0,4,2,7,0.286,2,5,0.4,0,0,,8
0022200001,203943,1610612738,2022-23,20,2,2,0,2,0,1,1,0,4,1,2,0.5,0,0,,0,0,,7
0022200002,1631157,1610612744,2022-23,2,0,1,0,1,1,0,0,0,2,0,1,0.0,0,0,,0,0,,-3
0022200002,1630346,1610612747,2022-23,18,3,1,0,1,0,1,0,1,2,1,4,0.25,1,3,0.333,0,0,,1
0022200001,200782,1610612755,2022-23,33,6,4,2,2,0,0,1,2,2,3,5,0.6,0,2,0.0,0,0,,-6
0022200001,1629001,1610612755,2022-23,21,5,0,0,0,0,1,0,0,2,2,4,0.5,1,2,0.5,0,0,,-13
0022200001,201933,1610612738,2022-23,8,1,5,2,3,1,0,0,0,3,0,2,0.0,0,1,0.0,1,2,0.5,-5
0022200001,1628401,1610612738,2022-23,24,2,3,1,2,4,1,0,1,2,1,3,0.333,0,1,0.0,0,1,0.0,9
0022200001,1630573,1610612738,2022-23,3,0,0,0,0,0,0,0,0,1,0,0,,0,0,,0,0,,3
0022200002,2544,1610612747,2022-23,35,31,15,5,10,8,0,0,5,2,12,26,0.462,3,10,0.3,4,4,1.0,-10
0022200002,203076,1610612747,2022-23,36,27,6,0,6,0,4,1,3,2,10,22,0.455,0,3,0.0,7,9,0.778,-21
0022200002,1629022,1610612747,2022-23,29,5,3,1,2,5,1,1,2,0,2,7,0.286,0,3,0.0,1,2,0.5,-13
0022200002,1629134,1610612747,2022-23,23,13,3,0,3,2,1,0,3,2,5,9,0.556,3,6,0.5,0,0,,-19
0022200001,202699,1610612755,2022-23,34,18,2,1,1,0,3,0,0,3,7,14,0.5,3,6,0.5,1,2,0.5,-1
0022200001,203954,1610612755,2022-23,37,26,15,1,14,5,0,1,6,4,9,18,0.5,1,6,0.167,7,9,0.778,-13
0022200001,1626149,1610612755,2022-23,11,2,0,0,0,0,0,1,1,3,1,3,0.333,0,0,,0,0,,4
0022200001,1630178,1610612755,2022-23,38,21,1,0,1,2,2,0,1,5,8,16,0.5,2,5,0.4,3,3,1.0,-6
0022200001,1627759,1610612738,2022-23,39,35,3,0,3,2,2,1,4,1,14,24,0.583,4,12,0.333,3,3,1.0,7
0022200001,1628369,1610612738,2022-23,39,35,12,0,12,4,1,1,3,1,13,20,0.65,2,7,0.286,7,9,0.778,10
0022200002,203952,1610612744,2022-23,29,20,6,1,5,4,1,1,1,5,8,14,0.571,4,7,0.571,0,0,,25
0022200002,1626172,1610612744,2022-23,21,7,6,2,4,2,1,0,0,2,3,4,0.75,0,0,,1,1,1.0,30
0022200002,1629673,1610612744,2022-23,28,12,2,0,2,7,2,0,4,2,4,15,0.267,2,9,0.222,2,2,1.0,1
0022200002,1630164,1610612744,2022-23,17,8,7,1,6,0,0,1,0,2,4,6,0.667,0,0,,0,4,0.0,-11
0022200002,1630228,1610612744,2022-23,13,0,3,1,2,0,0,1,2,2,0,3,0.0,0,2,0.0,0,0,,-8
0022200002,201566,1610612747,2022-23,31,19,11,1,10,3,1,0,4,1,7,12,0.583,1,3,0.333,4,5,0.8,-6
0022200001,203935,1610612738,2022-23,36,14,3,1,2,7,1,0,1,3,3,8,0.375,1,4,0.25,7,8,0.875,0
0022200001,1629684,1610612738,2022-23,24,15,1,0,1,1,0,0,0,3,5,5,1.0,3,3,1.0,2,3,0.667,-3
0022200002,201939,1610612744,2022-23,33,33,6,1,5,7,4,1,4,1,10,22,0.455,4,13,0.308,9,9,1.0,20
0022200002,203210,1610612744,2022-23,23,8,7,5,2,0,1,0,0,1,3,6,0.5,2,3,0.667,0,0,,-3
0022200002,201976,1610612747,2022-23,25,3,2,1,1,2,4,2,1,5,1,5,0.2,1,5,0.2,0,0,,-5
0022200002,1629117,1610612747,2022-23,8,0,1,1,0,1,0,0,0,2,0,1,0.0,0,0,,0,2,0.0,0
0022200002,1631108,1610612747,2022-23,2,3,1,0,1,0,0,0,0,0,1,1,1.0,1,1,1.0,0,0,,3
0022200002,1631306,1610612747,2022-23,2,0,1,0,1,1,0,0,0,0,0,1,0.0,0,1,0.0,0,0,,3
0022200001,1627777,1610612755,2022-23,12,3,0,0,0,1,0,0,0,1,1,4,0.25,1,3,0.333,0,0,,-5
0022200001,1627763,1610612738,2022-23,24,16,2,1,1,4,2,0,1,2,7,11,0.636,0,2,0.0,2,2,1.0,9
0022200002,202691,1610612744,2022-23,20,18,2,0,2,3,1,0,2,3,6,13,0.462,2,6,0.333,4,5,0.8,11
0022200002,1628978,1610612744,2022-23,22,8,2,0,2,2,1,0,4,2,3,6,0.5,1,2,0.5,1,2,0.5,-5
0022200002,1630541,1610612744,2022-23,8,5,1,0,1,0,0,0,0,0,2,4,0.5,1,3,0.333,0,0,,1
0022200002,1630590,1610612747,2022-23,2,2,0,0,0,0,0,0,0,0,0,0,,0,0,,2,2,1.0,3
0022200001,201935,1610612755,2022-23,37,35,8,0,8,7,0,0,3,3,9,14,0.643,5,9,0.556,12,12,1.0,1
0022200001,1627863,1610612755,2022-23,16,1,1,0,1,1,2,0,1,2,0,2,0.0,0,1,0.0,1,2,0.5,-5
0022200001,1629680,1610612755,2022-23,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,-1
0022200002,203110,1610612744,2022-23,25,4,5,0,5,5,0,0,1,1,2,5,0.4,0,0,,0,0,,12
0022200002,1629308,1610612747,2022-23,14,0,4,0,4,0,0,0,2,1,0,3,0.0,0,3,0.0,0,0,,0
0022200002,1630559,1610612747,2022-23,16,3,0,0,0,1,0,0,0,1,1,3,0.333,0,2,0.0,1,1,1.0,-6
0022200005,1629027,1610612737,2022-23,38,23,3,0,3,13,1,1,3,1,7,22,0.318,1,9,0.111,8,8,1.0,16
0022200008,1627747,1610612739,2022-23,35,10,5,0,5,7,0,0,1,3,2,7,0.286,2,2,1.0,4,4,1.0,5
0022200008,1628386,1610612739,2022-23,34,13,10,5,5,0,0,2,1,2,5,8,0.625,0,0,,3,4,0.75,2
0022200008,1630596,1610612739,2022-23,36,14,6,0,6,1,1,1,3,1,5,9,0.556,1,3,0.333,3,4,0.75,-14
0022200006,202685,1610612740,2022-23,27,15,13,6,7,2,0,1,1,1,6,13,0.462,1,1,1.0,2,2,1.0,28
0022200006,203468,1610612740,2022-23,31,21,4,1,3,6,3,0,1,2,7,16,0.438,3,9,0.333,4,5,0.8,23
0022200006,1630230,1610612740,2022-23,14,4,4,1,3,2,0,0,0,1,2,4,0.5,0,0,,0,0,,-7
0022200013,203501,1610612742,2022-23,25,9,2,0,2,1,1,0,2,1,3,10,0.3,1,5,0.2,2,2,1.0,-2
0022200012,203484,1610612743,2022-23,35,2,4,0,4,6,2,1,1,2,0,3,0.0,0,2,0.0,2,2,1.0,3
0022200012,203932,1610612743,2022-23,33,22,10,4,6,2,1,1,1,1,10,17,0.588,0,2,0.0,2,2,1.0,-7
0022200012,1628427,1610612743,2022-23,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,,0,0,,-4
0022200012,1628971,1610612743,2022-23,21,8,1,0,1,1,0,0,2,2,3,7,0.429,0,2,0.0,2,2,1.0,-10
0022200005,1630231,1610612745,2022-23,23,6,5,0,5,0,1,0,1,4,1,7,0.143,0,2,0.0,4,4,1.0,-10
0022200005,1630528,1610612745,2022-23,13,6,3,0,3,2,0,0,0,0,3,6,0.5,0,2,0.0,0,0,,-5
0022200005,1631095,1610612745,2022-23,33,17,7,1,6,1,0,0,0,4,6,17,0.353,3,11,0.273,2,2,1.0,-9
0022200007,200768,1610612748,2022-23,35,2,5,0,5,4,1,0,3,4,1,7,0.143,0,5,0.0,0,0,,-13
0022200007,1628997,1610612748,2022-23,29,7,4,1,3,3,2,0,0,2,3,9,0.333,1,3,0.333,0,0,,-7
0022200007,1629639,1610612748,2022-23,34,23,6,0,6,1,2,0,1,2,8,15,0.533,4,8,0.5,3,4,0.75,-18
0022200010,203085,1610612750,2022-23,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,3
0022200010,203937,1610612750,2022-23,22,2,6,2,4,1,1,1,2,0,0,2,0.0,0,1,0.0,2,2,1.0,4
0022200010,1626156,1610612750,2022-23,35,20,5,0,5,2,1,1,4,5,7,16,0.438,2,6,0.333,4,5,0.8,-8
0022200010,1629669,1610612750,2022-23,18,13,3,0,3,2,0,0,0,1,5,11,0.455,2,5,0.4,1,1,1.0,-1
0022200006,1629139,1610612751,2022-23,9,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,0.0,0,2,0.0,2
0022200006,1630556,1610612751,2022-23,4,3,2,0,2,2,1,0,0,0,1,3,0.333,1,2,0.5,0,0,,-1
0022200009,203095,1610612752,2022-23,33,14,4,1,3,3,2,0,0,2,4,11,0.364,3,6,0.5,3,3,1.0,-1
0022200009,1629011,1610612752,2022-23,13,4,2,2,0,0,0,2,0,5,2,3,0.667,0,0,,0,1,0.0,-7
0022200009,1629628,1610612752,2022-23,38,11,8,2,6,3,0,0,2,2,3,18,0.167,0,6,0.0,5,6,0.833,0
0022200003,1628964,1610612753,2022-23,12,0,2,1,1,1,0,0,0,0,0,5,0.0,0,4,0.0,0,2,0.0,-10
0022200003,1630532,1610612753,2022-23,34,20,4,1,3,5,0,0,5,2,8,18,0.444,2,6,0.333,2,2,1.0,-2
0022200003,1631216,1610612753,2022-23,22,0,3,0,3,0,0,1,0,3,0,3,0.0,0,2,0.0,0,0,,-14
0022200004,1630188,1610612754,2022-23,22,16,8,1,7,1,0,1,0,2,6,14,0.429,1,6,0.167,3,5,0.6,0
0022200013,101108,1610612756,2022-23,30,6,3,0,3,9,2,0,3,3,1,6,0.167,0,2,0.0,4,4,1.0,-9
0022200013,1629111,1610612756,2022-23,10,7,2,1,1,0,0,1,1,4,2,5,0.4,0,2,0.0,3,4,0.75,-6
0022200013,1629661,1610612756,2022-23,27,15,3,0,3,0,0,2,0,2,6,13,0.462,3,6,0.5,0,0,,-3
0022200014,203081,1610612757,2022-23,37,20,4,3,1,8,2,0,4,0,5,18,0.278,1,8,0.125,9,9,1.0,-1
0022200014,1629234,1610612757,2022-23,16,0,3,1,2,1,0,2,0,2,0,0,,0,0,,0,0,,4
0022200014,1626158,1610612758,2022-23,15,2,3,0,3,0,1,1,0,2,1,1,1.0,0,0,,0,0,,-12
0022200011,203926,1610612759,2022-23,16,12,2,2,0,0,0,0,0,2,5,10,0.5,2,5,0.4,0,0,,-18
0022200011,1631110,1610612759,2022-23,27,4,7,2,5,2,2,0,0,2,2,8,0.25,0,2,0.0,0,1,0.0,-2
0022200010,1628983,1610612760,2022-23,37,32,6,2,4,5,3,2,2,1,12,23,0.522,2,6,0.333,6,6,1.0,-1
0022200010,1630544,1610612760,2022-23,23,12,2,0,2,2,1,0,0,1,4,11,0.364,2,6,0.333,2,2,1.0,-5
0022200010,1631172,1610612760,2022-23,9,0,1,0,1,0,0,0,0,0,0,3,0.0,0,2,0.0,0,0,,-14
0022200008,201152,1610612761,2022-23,11,3,0,0,0,0,1,0,0,0,1,3,0.333,1,2,0.5,0,0,,-14
0022200008,1629018,1610612761,2022-23,37,19,5,3,2,0,1,0,1,1,5,12,0.417,4,8,0.5,5,7,0.714,3
0022200012,203482,1610612762,2022-23,15,8,0,0,0,1,0,0,3,5,3,5,0.6,2,3,0.667,0,0,,-8
0022200009,1629630,1610612763,2022-23,38,34,4,1,3,9,0,1,6,4,11,24,0.458,3,6,0.5,9,11,0.818,1
0022200004,1628398,1610612764,2022-23,35,22,13,1,12,2,0,2,2,4,8,19,0.421,3,10,0.3,3,5,0.6,7
0022200003,1630165,1610612765,2022-23,16,3,5,0,5,5,3,1,0,1,1,9,0.111,0,3,0.0,1,1,1.0,6
0022200003,1630191,1610612765,2022-23,26,14,5,0,5,3,2,0,0,2,3,6,0.5,1,4,0.25,7,8,0.875,-1
0022200011,202330,1610612766,2022-23,29,20,5,0,5,2,1,0,5,3,6,11,0.545,1,4,0.25,7,7,1.0,7
0022200011,203486,1610612766,2022-23,22,12,7,4,3,4,0,1,1,2,5,9,0.556,0,0,,2,2,1.0,6
0022200011,1626162,1610612766,2022-23,23,13,4,0,4,2,3,0,0,4,5,10,0.5,1,3,0.333,2,3,0.667,36
0022200011,1628372,1610612766,2022-23,21,12,2,0,2,4,2,2,1,2,5,7,0.714,2,2,1.0,0,0,,28
0022200011,1629667,1610612766,2022-23,23,5,5,0,5,2,1,1,0,0,2,5,0.4,1,2,0.5,0,0,,13
0022200011,1630550,1610612766,2022-23,8,0,1,0,1,0,0,1,0,0,0,1,0.0,0,1,0.0,0,0,,6
0022200005,1628381,1610612737,2022-23,34,24,8,0,8,1,1,0,2,3,9,12,0.75,2,2,1.0,4,4,1.0,11
0022200005,1630552,1610612737,2022-23,14,5,1,0,1,0,0,0,1,2,1,1,1.0,0,0,,3,4,0.75,-1
0022200008,201567,1610612739,2022-23,21,8,7,0,7,2,0,0,1,2,3,6,0.5,1,4,0.25,1,1,1.0,4
