game_id,team_id,season,is_home,minutes,points,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,plus_minus
0022300061,1610612743,2023-24,True,240,119,42,9,33,29,9,6,12,15,48,91,0.527,14,34,0.412,9,12,0.75,12
0022300062,1610612744,2023-24,True,240,104,49,18,31,19,11,6,11,23,36,101,0.356,10,43,0.233,22,28,0.786,-4
0022300061,1610612747,2023-24,False,240,107,44,13,31,23,5,4,12,18,41,90,0.456,10,29,0.345,15,20,0.75,-12
0022300062,1610612756,2023-24,False,240,108,60,17,43,23,5,7,19,22,42,95,0.442,11,33,0.333,13,17,0.765,4
0022300063,1610612737,2023-24,False,240,110,42,12,30,24,12,1,12,19,39,93,0.419,5,29,0.172,27,33,0.818,-6
0022300065,1610612738,2023-24,False,240,108,46,7,39,18,6,11,13,22,37,77,0.481,12,39,0.308,22,26,0.846,4
0022300067,1610612739,2023-24,False,240,114,38,9,29,25,10,6,10,23,44,94,0.468,17,43,0.395,9,10,0.9,1
0022300071,1610612740,2023-24,False,240,111,52,11,41,22,8,5,21,21,40,85,0.471,14,32,0.438,17,22,0.773,7
0022300070,1610612741,2023-24,True,240,104,42,13,29,26,10,3,13,16,39,94,0.415,12,42,0.286,14,18,0.778,-20
0022300073,1610612742,2023-24,False,240,126,48,13,35,24,6,3,12,20,47,99,0.475,15,47,0.319,17,23,0.739,7
0022300066,1610612745,2023-24,False,240,86,31,7,24,19,6,3,19,24,32,79,0.405,12,34,0.353,10,16,0.625,-30
0022300074,1610612746,2023-24,True,240,123,45,14,31,36,11,7,18,20,47,90,0.522,16,34,0.471,13,16,0.813,12
0022300068,1610612748,2023-24,True,240,103,48,16,32,22,11,3,7,18,37,92,0.402,8,22,0.364,21,26,0.808,1
0022300069,1610612750,2023-24,False,240,94,62,16,46,20,8,9,14,14,34,100,0.34,8,31,0.258,18,22,0.818,-3
