game_id,player_id,team_id,season,minutes,points,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,plus_minus
0022300061,202704,1610612743,2023-24,24,8,3,0,3,1,1,0,2,0,3,8,0.375,2,5,0.4,0,0,,11
0022300061,203932,1610612743,2023-24,35,15,7,2,5,5,2,1,0,0,7,11,0.636,1,2,0.5,0,0,,6
0022300061,203999,1610612743,2023-24,36,29,13,3,10,11,1,1,2,2,12,22,0.545,3,5,0.6,2,4,0.5,15
0022300061,1629008,1610612743,2023-24,30,12,12,2,10,2,2,0,0,1,5,13,0.385,2,9,0.222,0,0,,12
0022300061,1629618,1610612743,2023-24,1,2,0,0,0,0,0,0,0,0,1,1,1.0,0,0,,0,0,,0
0022300061,1630296,1610612743,2023-24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0
0022300061,1631221,1610612743,2023-24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0
0022300062,202691,1610612744,2023-24,36,15,7,1,6,3,0,1,3,3,6,18,0.333,3,11,0.273,0,0,,9
0022300062,203967,1610612744,2023-24,20,7,7,4,3,1,0,2,0,3,3,11,0.273,1,3,0.333,0,0,,7
0022300062,1627780,1610612744,2023-24,22,1,2,0,2,2,3,0,0,1,0,5,0.0,0,2,0.0,1,2,0.5,15
0022300061,1629629,1610612747,2023-24,18,7,4,2,2,0,0,1,0,2,2,4,0.5,1,2,0.5,2,2,1.0,7
0022300062,1626164,1610612756,2023-24,37,32,6,1,5,8,1,0,6,4,13,21,0.619,3,8,0.375,3,3,1.0,5
0022300061,1631212,1610612743,2023-24,11,3,0,0,0,0,0,1,1,1,1,3,0.333,1,3,0.333,0,0,,1
0022300062,1626172,1610612744,2023-24,28,7,11,5,6,1,0,0,2,2,3,6,0.5,0,0,,1,1,1.0,-11
0022300061,1629060,1610612747,2023-24,15,6,3,2,1,0,0,0,0,2,3,10,0.3,0,3,0.0,0,0,,-8
0022300061,1629216,1610612747,2023-24,22,6,1,1,0,2,1,0,2,3,3,8,0.375,0,4,0.0,0,0,,-17
0022300061,1631108,1610612747,2023-24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0
0022300062,1629234,1610612756,2023-24,19,4,7,2,5,2,0,3,3,3,1,3,0.333,0,0,,2,4,0.5,-2
0022300061,1627750,1610612743,2023-24,34,21,2,0,2,6,0,1,1,3,8,13,0.615,3,5,0.6,2,2,1.0,3
0022300061,1631128,1610612743,2023-24,19,5,3,1,2,2,0,1,1,1,2,5,0.4,0,1,0.0,1,2,0.5,5
0022300061,1626156,1610612747,2023-24,36,11,4,0,4,7,1,0,3,3,4,12,0.333,2,5,0.4,1,2,0.5,1
0022300062,1629642,1610612756,2023-24,3,3,1,0,1,0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,,-3
0022300061,203484,1610612743,2023-24,36,20,2,1,1,1,3,1,3,5,8,12,0.667,2,3,0.667,2,2,1.0,10
0022300061,1630192,1610612743,2023-24,12,4,0,0,0,1,0,0,1,2,1,3,0.333,0,1,0.0,2,2,1.0,-3
0022300062,201939,1610612744,2023-24,31,27,5,1,4,1,1,0,2,5,8,20,0.4,4,14,0.286,7,7,1.0,-9
0022300062,203952,1610612744,2023-24,27,10,1,1,0,0,0,1,0,3,4,12,0.333,0,3,0.0,2,3,0.667,-22
0022300062,1630541,1610612744,2023-24,18,11,3,1,2,0,3,1,1,1,4,6,0.667,2,4,0.5,1,2,0.5,-6
0022300061,203076,1610612747,2023-24,34,17,8,1,7,4,0,2,2,3,6,17,0.353,1,2,0.5,4,4,1.0,-17
0022300061,1626174,1610612747,2023-24,15,7,4,1,3,0,0,0,1,1,3,4,0.75,0,1,0.0,1,2,0.5,2
0022300062,201142,1610612756,2023-24,37,18,11,2,9,3,0,1,2,1,7,22,0.318,1,2,0.5,3,5,0.6,0
0022300062,203994,1610612756,2023-24,28,14,14,3,11,3,0,1,1,5,5,8,0.625,1,2,0.5,3,3,1.0,2
0022300062,1628960,1610612756,2023-24,21,0,4,3,1,2,0,0,1,2,0,6,0.0,0,5,0.0,0,0,,-4
0022300062,1629006,1610612756,2023-24,32,17,5,4,1,1,1,0,2,2,7,9,0.778,1,1,1.0,2,2,1.0,2
0022300062,1630692,1610612756,2023-24,14,2,4,1,3,3,1,0,2,0,1,4,0.25,0,1,0.0,0,0,,7
0022300062,101108,1610612744,2023-24,34,14,6,1,5,9,2,0,1,0,4,15,0.267,0,6,0.0,6,7,0.857,5
0022300061,2544,1610612747,2023-24,29,21,8,1,7,5,1,0,0,1,10,16,0.625,1,4,0.25,0,1,0.0,7
0022300061,1627752,1610612747,2023-24,30,18,3,1,2,1,0,1,1,0,6,8,0.75,4,6,0.667,2,2,1.0,-14
0022300061,1629637,1610612747,2023-24,7,0,1,0,1,0,0,0,0,1,0,0,,0,0,,0,0,,-7
0022300061,1630559,1610612747,2023-24,31,14,8,4,4,4,2,0,2,2,4,11,0.364,1,2,0.5,5,7,0.714,-14
0022300061,1641721,1610612747,2023-24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0
0022300062,201569,1610612756,2023-24,32,10,4,1,3,1,1,1,1,2,4,16,0.25,2,9,0.222,0,0,,6
0022300062,1629139,1610612756,2023-24,18,8,4,0,4,0,0,1,1,2,3,5,0.6,2,4,0.5,0,0,,7
0022300062,202709,1610612744,2023-24,4,0,1,1,0,1,0,0,0,0,0,0,,0,0,,0,0,,-12
0022300062,1630228,1610612744,2023-24,20,12,6,3,3,1,2,1,2,5,4,8,0.5,0,0,,4,6,0.667,4
0022300063,203992,1610612737,2023-24,24,7,4,0,4,4,3,0,0,1,3,9,0.333,1,5,0.2,0,0,,6
0022300063,1629631,1610612737,2023-24,31,9,4,2,2,1,0,0,0,6,4,9,0.444,1,4,0.25,0,1,0.0,-13
0022300065,201143,1610612738,2023-24,26,8,7,3,4,2,0,0,3,2,3,4,0.75,2,3,0.667,0,0,,-7
0022300067,1628378,1610612739,2023-24,36,27,5,2,3,6,4,1,0,1,11,21,0.524,4,10,0.4,1,1,1.0,7
0022300067,1629660,1610612739,2023-24,6,2,0,0,0,0,0,0,0,1,1,1,1.0,0,0,,0,0,,-7
0022300071,202685,1610612740,2023-24,29,12,12,0,12,1,0,1,3,1,4,7,0.571,2,4,0.5,2,2,1.0,16
0022300071,203468,1610612740,2023-24,37,24,4,1,3,6,2,1,2,3,8,16,0.5,6,11,0.545,2,2,1.0,-1
0022300071,1626204,1610612740,2023-24,15,2,8,1,7,0,1,0,2,1,1,2,0.5,0,0,,0,0,,-4
0022300071,1630529,1610612740,2023-24,38,13,8,3,5,3,1,1,3,3,4,8,0.5,2,3,0.667,3,5,0.6,2
0022300071,1641722,1610612740,2023-24,9,3,0,0,0,2,0,0,0,2,1,2,0.5,1,2,0.5,0,0,,14
0022300070,201942,1610612741,2023-24,33,20,5,2,3,2,1,1,0,1,9,20,0.45,1,3,0.333,1,3,0.333,-29
0022300070,203083,1610612741,2023-24,16,6,5,3,2,1,1,0,1,1,3,4,0.75,0,0,,0,0,,-1
0022300066,1628988,1610612745,2023-24,5,0,0,0,0,0,0,0,0,0,0,3,0.0,0,1,0.0,0,0,,-9
0022300074,1629599,1610612746,2023-24,4,2,0,0,0,1,0,0,0,0,0,1,0.0,0,0,,2,2,1.0,-7
0022300074,1641738,1610612746,2023-24,5,0,0,0,0,0,0,0,0,1,0,2,0.0,0,1,0.0,0,0,,-12
