game_id,team_id,season,is_home,minutes,points,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,plus_minus
0022100002,1610612744,2021-22,False,240,121,50,9,41,30,9,2,17,18,41,93,0.441,14,39,0.359,25,30,0.833,7
0022100002,1610612747,2021-22,True,240,114,45,5,40,21,7,4,18,25,45,95,0.474,15,42,0.357,9,19,0.474,-7
0022100001,1610612749,2021-22,True,240,127,54,13,41,25,8,9,8,19,48,105,0.457,17,45,0.378,14,18,0.778,23
0022100001,1610612751,2021-22,False,240,104,44,5,39,19,3,9,13,17,37,84,0.44,17,32,0.531,13,23,0.565,-23
0022100005,1610612738,2021-22,False,290,134,56,15,41,34,13,9,18,24,48,117,0.41,21,57,0.368,17,23,0.739,-4
0022100007,1610612739,2021-22,False,240,121,36,7,29,38,6,5,11,17,47,93,0.505,14,38,0.368,13,18,0.722,-11
0022100009,1610612740,2021-22,True,240,97,44,10,34,28,5,6,14,16,39,93,0.419,13,30,0.433,6,9,0.667,-20
0022100004,1610612741,2021-22,False,240,94,48,9,39,18,8,5,17,19,37,86,0.43,7,23,0.304,13,15,0.867,6
0022100012,1610612743,2021-22,False,240,110,46,6,40,25,9,1,19,20,44,83,0.53,17,39,0.436,5,9,0.556,12
0022100008,1610612745,2021-22,False,240,106,41,12,29,21,13,3,24,25,40,88,0.455,11,33,0.333,15,22,0.682,-18
0022100008,1610612750,2021-22,True,240,124,46,13,33,26,18,12,18,22,42,87,0.483,16,38,0.421,24,31,0.774,18
0022100005,1610612752,2021-22,True,290,138,55,7,48,27,9,10,19,22,51,105,0.486,17,45,0.378,19,27,0.704,4
0022100010,1610612753,2021-22,False,240,97,44,13,31,17,6,6,16,20,35,86,0.407,9,29,0.31,18,23,0.783,-26
0022100003,1610612754,2021-22,False,240,122,51,8,43,29,2,10,17,24,42,90,0.467,17,47,0.362,21,24,0.875,-1
0022100009,1610612755,2021-22,False,240,117,47,6,41,24,9,5,13,11,44,85,0.518,13,25,0.52,16,20,0.8,20
0022100012,1610612756,2021-22,True,240,98,45,11,34,23,9,3,18,18,36,87,0.414,14,37,0.378,12,17,0.706,-12
0022100013,1610612757,2021-22,True,240,121,49,9,40,25,5,5,13,22,45,93,0.484,12,35,0.343,19,22,0.864,-3
0022100013,1610612758,2021-22,False,240,124,43,7,36,24,6,4,10,22,42,92,0.457,17,41,0.415,23,29,0.793,3
0022100010,1610612759,2021-22,True,240,123,43,13,30,32,8,3,8,22,49,98,0.5,13,30,0.433,12,18,0.667,26
0022100011,1610612760,2021-22,False,240,86,50,15,35,19,4,2,15,15,34,91,0.374,7,35,0.2,11,18,0.611,-21
0022100006,1610612761,2021-22,True,240,83,54,19,35,14,10,4,19,21,30,97,0.309,7,34,0.206,16,22,0.727,-15
0022100011,1610612762,2021-22,True,240,107,53,12,41,18,6,5,10,19,40,91,0.44,14,47,0.298,13,15,0.867,21
0022100007,1610612763,2021-22,True,240,132,53,13,40,28,8,8,12,15,53,100,0.53,14,33,0.424,12,12,1.0,11
0022100006,1610612764,2021-22,False,240,98,51,7,44,20,14,8,22,17,36,81,0.444,5,27,0.185,21,26,0.808,15
0022100004,1610612765,2021-22,True,240,88,47,11,36,17,7,5,17,16,36,90,0.4,6,28,0.214,10,13,0.769,-6
