game_id,team_id,season,is_home,minutes,points,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,plus_minus
0022000001,1610612744,2020-21,False,240,99,47,13,34,26,6,6,18,24,37,99,0.374,10,33,0.303,15,23,0.652,-26
0022000002,1610612746,2020-21,False,240,116,40,11,29,22,10,3,16,29,44,93,0.473,14,40,0.35,14,19,0.737,7
0022000002,1610612747,2020-21,True,240,109,45,8,37,22,4,2,19,20,38,81,0.469,9,29,0.31,24,31,0.774,-7
0022000001,1610612751,2020-21,True,240,125,57,13,44,24,11,7,20,22,42,92,0.457,15,35,0.429,26,32,0.813,26
0022000015,1610612737,2020-21,False,240,124,46,8,38,24,6,3,23,29,43,80,0.538,14,35,0.4,24,29,0.828,20
0022000003,1610612738,2020-21,True,240,122,37,10,27,23,8,6,7,17,48,101,0.475,18,40,0.45,8,11,0.727,1
0022000010,1610612739,2020-21,True,240,121,50,10,40,34,12,3,21,22,46,87,0.529,14,30,0.467,15,20,0.75,7
0022000014,1610612740,2020-21,False,240,113,45,8,37,30,13,7,27,17,42,80,0.525,19,42,0.452,10,20,0.5,14
0022000015,1610612741,2020-21,True,240,104,37,8,29,20,10,3,17,22,36,87,0.414,8,35,0.229,24,28,0.857,-20
0022000004,1610612742,2020-21,False,240,102,39,6,33,17,6,0,12,23,36,85,0.424,9,37,0.243,21,26,0.808,-4
0022000019,1610612743,2020-21,True,265,122,46,10,36,28,6,11,15,25,47,98,0.48,8,29,0.276,20,24,0.833,-2
0022000012,1610612748,2020-21,False,240,107,43,7,36,25,11,2,22,21,42,83,0.506,7,20,0.35,16,19,0.842,-6
0022000003,1610612749,2020-21,False,240,121,52,11,41,19,4,6,16,20,46,90,0.511,14,35,0.4,15,18,0.833,-1
0022000018,1610612750,2020-21,True,240,111,48,12,36,25,6,5,12,16,38,88,0.432,11,41,0.268,24,28,0.857,10
0022000011,1610612752,2020-21,False,240,107,40,5,35,25,8,8,16,27,39,85,0.459,12,28,0.429,17,23,0.739,-14
0022000012,1610612753,2020-21,True,240,113,41,11,30,23,15,3,18,19,42,88,0.477,10,28,0.357,19,30,0.633,6
0022000011,1610612754,2020-21,True,240,121,50,10,40,28,6,9,13,24,46,94,0.489,8,34,0.235,21,29,0.724,14
0022000013,1610612755,2020-21,True,240,113,47,10,37,22,11,8,18,25,41,87,0.471,8,28,0.286,23,30,0.767,6
0022000004,1610612756,2020-21,True,240,106,48,6,42,21,7,7,19,26,38,79,0.481,11,30,0.367,19,27,0.704,4
0022000020,1610612757,2020-21,True,240,100,40,6,34,23,6,3,6,18,37,92,0.402,12,33,0.364,14,17,0.824,-20
0022000019,1610612758,2020-21,False,265,124,54,18,36,27,5,7,15,29,45,102,0.441,10,31,0.323,24,31,0.774,2
0022000017,1610612759,2020-21,False,240,131,48,8,40,28,8,8,11,18,48,95,0.505,10,25,0.4,25,29,0.862,12
0022000014,1610612761,2020-21,True,240,99,35,7,28,26,10,5,21,22,38,89,0.427,14,46,0.304,9,12,0.75,-14
0022000020,1610612762,2020-21,False,240,120,59,12,47,24,3,3,11,16,43,94,0.457,19,50,0.38,15,19,0.789,20
0022000017,1610612763,2020-21,True,240,119,42,5,37,27,6,8,11,20,49,95,0.516,10,27,0.37,11,18,0.611,-12
0022000013,1610612764,2020-21,False,240,107,40,5,35,28,7,4,20,26,39,85,0.459,13,27,0.481,16,23,0.696,-6
0022000018,1610612765,2020-21,False,240,101,44,7,37,29,5,2,15,20,45,93,0.484,8,35,0.229,3,8,0.375,-10
0022000010,1610612766,2020-21,False,240,114,32,8,24,29,10,4,15,17,45,90,0.5,16,44,0.364,8,15,0.533,-7
0022000007,1610612738,2020-21,True,240,95,47,20,27,23,6,5,15,27,37,98,0.378,8,27,0.296,13,19,0.684,-28
0022000005,1610612740,2020-21,False,240,98,41,11,30,18,8,2,19,20,31,78,0.397,10,35,0.286,26,33,0.788,-13
0022000008,1610612742,2020-21,False,240,115,27,3,24,20,13,3,9,22,41,83,0.494,13,32,0.406,20,26,0.769,-23
0022000009,1610612743,2020-21,True,240,108,32,10,22,25,7,1,13,20,37,81,0.457,11,36,0.306,23,31,0.742,-13
0022000006,1610612744,2020-21,False,240,99,43,10,33,14,5,6,11,22,34,99,0.343,10,45,0.222,21,25,0.84,-39
0022000009,1610612746,2020-21,False,240,121,38,9,29,32,9,4,21,32,41,74,0.554,19,38,0.5,20,24,0.833,13
0022000008,1610612747,2020-21,True,240,138,53,17,36,33,9,4,17,23,51,91,0.56,19,39,0.487,17,24,0.708,23
