game_id,team_id,team_tricode,is_home,points,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,offensive_rating,defensive_rating,net_rating,pace,pie,season
0022400709,1610612757,POR,True,121,48,14,34,30,6,2,12,21,40,89,0.449,16,40,0.4,25,30,0.833,117.5,115.5,1.9,93.28,,2024-25
0022400709,1610612756,PHX,False,119,43,10,33,28,12,5,14,21,40,85,0.471,15,42,0.357,24,28,0.857,115.5,117.5,-1.9,93.28,,2024-25
0022400278,1610612765,DET,True,102,38,6,32,27,4,7,14,19,34,76,0.447,12,37,0.324,22,31,0.71,109.7,108.7,1.0,92.5,,2024-25
0022400278,1610612761,TOR,False,100,50,23,27,26,7,5,9,27,41,104,0.394,10,35,0.286,8,10,0.8,108.7,109.7,-1.0,92.5,,2024-25
0022400622,1610612753,ORL,True,79,44,14,30,17,9,6,19,18,26,76,0.342,6,25,0.24,21,31,0.677,84.0,105.2,-21.2,95.0,,2024-25
0022400622,1610612757,POR,False,101,42,8,34,23,14,12,13,21,40,82,0.488,9,28,0.321,12,19,0.632,105.2,84.0,21.2,95.0,,2024-25
0022400360,1610612765,DET,True,119,39,13,26,26,10,8,10,25,46,105,0.438,13,47,0.277,14,18,0.778,109.2,113.5,-4.3,110.0,,2024-25
0022400360,1610612762,UTA,False,126,62,15,47,23,5,8,27,19,39,83,0.47,20,40,0.5,28,31,0.903,113.5,109.2,4.3,110.0,,2024-25
0022400522,1610612756,PHX,True,123,42,12,30,33,7,6,16,15,49,85,0.576,13,33,0.394,12,15,0.8,128.1,118.6,9.6,96.5,,2024-25
0022400522,1610612737,ATL,False,115,32,8,24,32,11,3,11,19,42,86,0.488,15,32,0.469,16,17,0.941,118.6,128.1,-9.6,96.5,,2024-25
0022400589,1610612744,GSW,True,122,55,17,38,24,6,7,9,18,45,96,0.469,14,41,0.341,18,24,0.75,123.2,117.5,5.7,98.0,,2024-25
0022400589,1610612764,WAS,False,114,44,11,33,24,5,2,13,21,38,86,0.442,22,45,0.489,16,23,0.696,117.5,123.2,-5.7,98.0,,2024-25
0022401007,1610612756,PHX,True,127,46,13,33,34,9,6,11,13,47,96,0.49,15,40,0.375,18,20,0.9,125.7,121.0,4.7,100.5,,2024-25
0022401007,1610612741,CHI,False,121,40,8,32,29,7,8,13,19,49,90,0.544,15,38,0.395,8,12,0.667,121.0,125.7,-4.7,100.5,,2024-25
0022400209,1610612756,PHX,True,118,48,8,40,30,11,3,11,19,44,105,0.419,18,57,0.316,12,15,0.8,104.4,112.4,-8.0,102.34,,2024-25
0022400209,1610612758,SAC,False,127,57,8,49,23,7,3,14,20,50,102,0.49,11,37,0.297,16,19,0.842,112.4,104.4,8.0,102.34,,2024-25
0022400207,1610612760,OKC,True,116,41,14,27,25,4,6,11,18,42,94,0.447,11,33,0.333,21,26,0.808,117.2,128.3,-11.1,99.0,,2024-25
0022400207,1610612744,GSW,False,127,46,13,33,35,8,3,14,26,45,89,0.506,21,43,0.488,16,23,0.696,128.3,117.2,11.1,99.0,,2024-25
0022401219,1610612756,PHX,True,116,46,12,34,23,7,2,11,13,43,89,0.483,15,39,0.385,15,19,0.789,118.4,111.2,7.1,98.0,,2024-25
0022401219,1610612757,POR,False,109,48,12,36,30,6,4,13,22,42,94,0.447,15,49,0.306,10,13,0.769,111.2,118.4,-7.1,98.0,,2024-25
