game_id,player_id,team_id,season,minutes,points,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,plus_minus
0022400061,201143,1610612738,2024-25,26,11,3,0,3,5,1,1,0,2,4,7,0.571,3,5,0.6,0,0,,19
0022400061,201950,1610612738,2024-25,31,18,4,2,2,4,1,0,0,2,7,9,0.778,4,6,0.667,0,0,,23
0022400062,2544,1610612747,2024-25,35,16,5,0,5,4,0,2,2,3,7,16,0.438,1,4,0.25,1,1,1.0,-6
0022400062,1630559,1610612747,2024-25,36,12,9,4,5,4,1,1,0,4,6,14,0.429,0,5,0.0,0,1,0.0,12
0022400062,201144,1610612750,2024-25,20,5,4,2,2,2,1,0,3,1,1,7,0.143,0,5,0.0,3,3,1.0,-22
0022400062,1629675,1610612750,2024-25,26,12,4,1,3,1,0,0,1,3,3,8,0.375,2,4,0.5,4,4,1.0,-6
0022400062,1630183,1610612750,2024-25,16,6,2,0,2,1,1,0,1,5,3,8,0.375,0,3,0.0,0,0,,-8
0022400061,1626166,1610612752,2024-25,21,11,3,1,2,4,1,0,1,3,5,10,0.5,1,4,0.25,0,0,,0
0022400061,1629674,1610612738,2024-25,4,0,0,0,0,0,0,0,0,1,0,0,,0,0,,0,0,,0
0022400061,1630214,1610612738,2024-25,18,2,7,3,4,2,0,0,0,1,1,6,0.167,0,3,0.0,0,0,,-3
0022400061,1641775,1610612738,2024-25,6,0,0,0,0,1,0,0,0,0,0,1,0.0,0,1,0.0,0,0,,-9
0022400062,1629216,1610612747,2024-25,17,2,2,0,2,2,0,0,2,1,1,2,0.5,0,0,,0,0,,-2
0022400062,1631108,1610612747,2024-25,11,2,2,1,1,0,0,0,0,5,0,3,0.0,0,3,0.0,2,2,1.0,-5
0022400062,204060,1610612750,2024-25,7,0,0,0,0,1,0,0,0,1,0,1,0.0,0,1,0.0,0,0,,1
0022400061,1628969,1610612752,2024-25,35,16,0,0,0,2,0,0,1,0,7,13,0.538,2,7,0.286,0,1,0.0,-33
0022400061,1630579,1610612752,2024-25,24,4,9,3,6,1,0,2,1,0,2,3,0.667,0,0,,0,0,,-5
0022400061,1628401,1610612738,2024-25,27,24,3,0,3,4,1,0,0,1,8,13,0.615,6,10,0.6,2,2,1.0,21
0022400061,1628436,1610612738,2024-25,19,4,3,2,1,1,1,1,0,0,2,3,0.667,0,0,,0,0,,2
0022400061,1630573,1610612738,2024-25,24,10,5,1,4,1,0,0,0,2,4,10,0.4,2,7,0.286,0,0,,6
0022400062,1629638,1610612750,2024-25,28,14,5,2,3,0,0,0,2,0,5,7,0.714,3,4,0.75,1,2,0.5,13
0022400061,1628384,1610612752,2024-25,34,4,5,0,5,3,1,0,0,3,1,7,0.143,0,4,0.0,2,2,1.0,-21
0022400061,1630540,1610612752,2024-25,26,22,0,0,0,2,0,0,1,1,8,10,0.8,4,5,0.8,2,3,0.667,-18
0022400061,1628369,1610612738,2024-25,30,37,4,0,4,10,1,1,1,1,14,18,0.778,8,11,0.727,1,2,0.5,26
0022400062,203076,1610612747,2024-25,38,36,16,3,13,4,1,3,1,1,11,23,0.478,1,3,0.333,13,15,0.867,1
0022400062,203944,1610612750,2024-25,34,16,9,3,6,4,0,0,2,3,5,10,0.5,1,3,0.333,5,7,0.714,2
0022400062,1628978,1610612750,2024-25,32,10,3,1,2,3,2,0,1,2,3,11,0.273,2,8,0.25,2,4,0.5,-5
0022400061,1628404,1610612752,2024-25,25,12,4,1,3,3,0,0,1,0,4,6,0.667,0,2,0.0,4,6,0.667,-23
0022400061,1628973,1610612752,2024-25,25,22,1,0,1,2,0,0,4,3,9,14,0.643,1,2,0.5,3,3,1.0,-23
0022400061,1642278,1610612752,2024-25,5,3,0,0,0,0,0,0,2,0,1,2,0.5,1,1,1.0,0,0,,7
0022400061,1627759,1610612738,2024-25,30,23,7,2,5,1,1,0,1,3,7,18,0.389,5,9,0.556,4,4,1.0,23
0022400061,1630202,1610612738,2024-25,25,3,4,1,3,4,0,0,1,2,1,10,0.1,1,9,0.111,0,0,,7
0022400062,1626156,1610612747,2024-25,34,9,1,0,1,5,2,0,1,2,4,12,0.333,1,7,0.143,0,0,,15
0022400062,1629060,1610612747,2024-25,35,18,5,3,2,1,2,1,0,2,7,14,0.5,1,4,0.25,3,4,0.75,19
0022400062,1642261,1610612747,2024-25,16,5,1,0,1,2,1,0,1,1,2,4,0.5,1,3,0.333,0,0,,7
0022400062,1642355,1610612747,2024-25,3,0,1,1,0,0,0,0,0,0,0,2,0.0,0,1,0.0,0,0,,-5
0022400062,203497,1610612750,2024-25,35,13,14,3,11,2,0,1,1,4,5,8,0.625,0,0,,3,4,0.75,-10
0022400061,1626157,1610612752,2024-25,24,12,7,0,7,3,0,0,0,1,5,9,0.556,1,2,0.5,1,1,1.0,-18
0022400061,1630574,1610612752,2024-25,6,0,4,0,4,0,0,1,0,0,0,0,,0,0,,0,0,,9
0022400061,1631210,1610612752,2024-25,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,,0
0022400061,1642359,1610612752,2024-25,13,3,1,0,1,0,0,0,0,1,1,3,0.333,1,2,0.5,0,0,,10
0022400062,1629637,1610612747,2024-25,15,10,4,3,1,0,0,1,0,3,4,5,0.8,0,0,,2,2,1.0,-1
0022400062,1630162,1610612750,2024-25,41,27,6,0,6,3,0,0,4,3,10,25,0.4,5,13,0.385,2,3,0.667,0
0022400064,203991,1610612737,2024-25,20,6,7,1,6,1,1,1,1,0,3,5,0.6,0,0,,0,0,,0
0022400064,1630249,1610612737,2024-25,11,3,1,0,1,2,0,0,0,1,1,2,0.5,0,1,0.0,1,1,1.0,-8
0022400067,1627777,1610612739,2024-25,19,11,1,0,1,0,0,0,1,1,4,5,0.8,3,4,0.75,0,0,,14
0022400067,1628386,1610612739,2024-25,26,14,7,2,5,1,1,4,1,1,5,7,0.714,0,0,,4,5,0.8,8
0022400067,1629660,1610612739,2024-25,19,14,2,1,1,6,2,0,2,1,6,7,0.857,2,2,1.0,0,0,,16
0022400067,1630596,1610612739,2024-25,27,25,9,4,5,3,2,3,1,2,9,14,0.643,1,2,0.5,6,6,1.0,31
0022400069,1630245,1610612741,2024-25,25,8,4,0,4,3,0,0,2,2,4,6,0.667,0,2,0.0,0,0,,-13
0022400069,1630537,1610612741,2024-25,2,3,0,0,0,0,0,0,0,0,1,1,1.0,1,1,1.0,0,0,,3
0022400072,1629001,1610612744,2024-25,19,11,2,0,2,4,3,0,1,3,4,11,0.364,2,8,0.25,1,2,0.5,3
0022400072,1630541,1610612744,2024-25,15,15,2,0,2,2,0,0,0,3,5,11,0.455,3,8,0.375,2,2,1.0,10
0022400072,1641764,1610612744,2024-25,25,0,7,4,3,4,1,0,3,3,0,5,0.0,0,4,0.0,0,0,,35
0022400068,1630224,1610612745,2024-25,35,28,2,0,2,0,0,0,0,0,9,23,0.391,5,15,0.333,5,5,1.0,-11
0022400065,202710,1610612748,2024-25,26,3,4,1,3,5,1,1,1,1,1,8,0.125,0,2,0.0,1,2,0.5,-30
0022400066,1627752,1610612749,2024-25,30,16,5,0,5,3,0,0,0,2,6,7,0.857,4,5,0.8,0,0,,2
0022400066,1630699,1610612749,2024-25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0
0022400066,1631157,1610612749,2024-25,1,0,0,0,0,0,0,0,0,1,0,0,,0,0,,0,0,,0
0022400064,1627827,1610612751,2024-25,30,8,8,3,5,1,1,2,1,5,3,10,0.3,2,7,0.286,0,0,,-4
0022400064,1629651,1610612751,2024-25,15,7,5,0,5,0,1,1,0,3,3,4,0.75,0,0,,1,4,0.25,7
0022400064,1630592,1610612751,2024-25,34,16,4,1,3,1,0,0,1,5,3,7,0.429,2,5,0.4,8,8,1.0,4
0022400065,1630175,1610612753,2024-25,17,0,3,0,3,6,0,0,2,2,0,7,0.0,0,5,0.0,0,0,,8
0022400065,1630591,1610612753,2024-25,13,11,2,0,2,4,1,0,1,3,3,4,0.75,1,2,0.5,4,4,1.0,18
0022400065,1641710,1610612753,2024-25,28,10,6,4,2,4,0,0,0,2,4,9,0.444,1,2,0.5,1,3,0.333,13
0022400063,1626167,1610612754,2024-25,36,20,9,0,9,4,0,4,4,4,7,14,0.5,3,8,0.375,3,3,1.0,20
0022400066,201569,1610612755,2024-25,22,2,1,0,1,1,0,0,0,1,1,6,0.167,0,2,0.0,0,0,,6
0022400066,1641737,1610612755,2024-25,3,2,1,1,0,0,0,0,0,1,1,1,1.0,0,0,,0,0,,3
0022400071,203078,1610612756,2024-25,38,24,3,0,3,1,1,1,2,1,8,12,0.667,4,6,0.667,4,5,0.8,-1
0022400071,1626145,1610612756,2024-25,35,11,2,0,2,8,2,1,0,0,5,10,0.5,1,5,0.2,0,0,,6
0022400071,1628420,1610612756,2024-25,13,5,1,0,1,2,1,0,0,0,2,5,0.4,0,2,0.0,1,2,0.5,2
0022400071,1642346,1610612756,2024-25,9,2,2,0,2,1,0,1,0,3,1,5,0.2,0,2,0.0,0,0,,-2
0022400072,1641739,1610612757,2024-25,30,11,6,4,2,4,2,0,2,4,3,8,0.375,2,4,0.5,3,4,0.75,-22
0022400067,202066,1610612761,2024-25,9,2,0,0,0,2,1,0,0,2,1,2,0.5,0,1,0.0,0,0,,1
0022400067,1630193,1610612761,2024-25,14,13,2,0,2,4,1,0,2,2,4,9,0.444,2,4,0.5,3,4,0.75,-2
0022400067,1630534,1610612761,2024-25,25,3,6,4,2,1,1,1,0,2,1,1,1.0,0,0,,1,2,0.5,-18
0022400067,1630558,1610612761,2024-25,25,8,0,0,0,3,2,0,5,0,4,10,0.4,0,3,0.0,0,0,,-20
0022400067,1642367,1610612761,2024-25,11,7,0,0,0,0,1,0,0,1,2,4,0.5,1,2,0.5,2,2,1.0,-4
0022400067,1642419,1610612761,2024-25,16,6,2,0,2,1,0,1,0,1,2,4,0.5,2,4,0.5,0,0,,0
0022400070,203903,1610612762,2024-25,25,17,5,2,3,7,0,1,2,1,7,16,0.438,2,5,0.4,1,2,0.5,-3
0022400070,1628374,1610612762,2024-25,35,35,9,1,8,2,0,0,2,2,9,15,0.6,4,7,0.571,13,14,0.929,16
0022400070,1629012,1610612762,2024-25,25,16,2,0,2,3,1,1,4,2,5,8,0.625,0,0,,6,8,0.75,-3
0022400070,1630217,1610612763,2024-25,27,24,4,0,4,4,1,1,1,4,8,20,0.4,4,10,0.4,4,4,1.0,-8
0022400070,1630590,1610612763,2024-25,22,6,3,1,2,7,3,1,2,3,3,6,0.5,0,2,0.0,0,2,0.0,5
0022400070,1641744,1610612763,2024-25,15,5,5,4,1,0,0,0,1,6,2,4,0.5,0,0,,1,5,0.2,-5
0022400063,1631105,1610612765,2024-25,30,13,13,4,9,4,0,0,2,3,4,4,1.0,0,0,,5,6,0.833,-16
0022400068,1628970,1610612766,2024-25,32,10,9,0,9,2,1,1,4,1,5,11,0.455,0,3,0.0,0,0,,4
0022400068,1631217,1610612766,2024-25,15,2,5,2,3,0,1,2,0,0,1,4,0.25,0,0,,0,0,,6
0022400064,1630552,1610612737,2024-25,37,11,10,1,9,4,3,1,6,3,4,9,0.444,0,3,0.0,3,8,0.375,-3
0022400069,1641810,1610612740,2024-25,1,0,0,0,0,0,0,0,1,0,0,3,0.0,0,2,0.0,0,0,,-3
0022400069,1630188,1610612741,2024-25,17,15,5,3,2,0,1,0,0,2,5,8,0.625,1,3,0.333,4,4,1.0,2
0022400072,203952,1610612744,2024-25,23,20,4,2,2,2,0,0,1,2,8,15,0.533,4,7,0.571,0,0,,9
0022400072,1626172,1610612744,2024-25,14,2,6,3,3,2,1,1,1,3,0,2,0.0,0,0,,2,2,1.0,14
0022400072,1630322,1610612744,2024-25,5,8,1,0,1,0,0,0,0,2,3,3,1.0,2,2,1.0,0,0,,8
0022400072,1630611,1610612744,2024-25,5,3,1,0,1,1,0,0,0,1,1,1,1.0,0,0,,1,2,0.5,8
0022400068,1628415,1610612745,2024-25,31,2,3,1,2,0,0,0,0,4,1,6,0.167,0,3,0.0,0,0,,14
0022400068,1629111,1610612745,2024-25,10,5,3,3,0,2,0,0,0,1,2,4,0.5,1,1,1.0,0,0,,-6
0022400068,1631095,1610612745,2024-25,33,8,5,1,4,1,0,1,0,2,2,7,0.286,2,5,0.4,2,3,0.667,2
0022400068,1631106,1610612745,2024-25,13,2,2,1,1,2,2,0,0,1,1,3,0.333,0,1,0.0,0,0,,-13
0022400071,1626181,1610612746,2024-25,40,17,4,1,3,4,0,1,3,0,5,16,0.313,1,7,0.143,6,6,1.0,5
0022400071,1627739,1610612746,2024-25,20,5,4,2,2,2,2,0,1,1,2,4,0.5,1,2,0.5,0,0,,-5
0022400071,1627884,1610612746,2024-25,29,12,4,2,2,1,2,0,2,4,5,6,0.833,2,2,1.0,0,0,,1
0022400071,1629645,1610612746,2024-25,13,2,4,1,3,2,1,0,2,2,1,8,0.125,0,4,0.0,0,0,,-4
0022400065,1631107,1610612748,2024-25,24,15,5,1,4,1,1,1,1,4,7,14,0.5,1,7,0.143,0,1,0.0,0
0022400065,1631170,1610612748,2024-25,19,13,5,2,3,3,0,0,2,4,4,9,0.444,2,2,1.0,3,5,0.6,-23
